ID	adj.P.Val	P.Value	logFC	Gene.symbol	Gene.title
1418573_a_at	0.009267	2.16e-04	1.33292	Raly	hnRNP-associated with lethal yellow
1455069_x_at	0.009289	2.17e-04	-1.2704	Slc25a4	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4
1422712_a_at	0.009289	2.17e-04	2.56242333	Ube2i	ubiquitin-conjugating enzyme E2I
1438676_at	0.009309	2.18e-04	-1.72031333	Gbp6	guanylate binding protein 6
1415761_at	0.00932	2.18e-04	2.37084667	Mrpl52	mitochondrial ribosomal protein L52
1422547_at	0.009467	2.22e-04	2.96732	Ranbp1	RAN binding protein 1
1423202_a_at	0.009467	2.22e-04	-1.76457	Ncor1	nuclear receptor co-repressor 1
1460464_at	0.009467	2.22e-04	-3.39316667	Smim10l1	small integral membrane protein 10 like 1
1434766_at	0.009473	2.22e-04	-2.57252667	Prkaa2	protein kinase, AMP-activated, alpha 2 catalytic subunit
1429183_at	0.0095	2.23e-04	-2.90542	Pkp2	plakophilin 2
1423222_at	0.0095	2.23e-04	-2.80494	Cap2	CAP, adenylate cyclase-associated protein, 2 (yeast)
1420055_at	0.009541	2.25e-04	1.21770667	Slc35c2	solute carrier family 35, member C2
1426863_at	0.009556	2.25e-04	-2.24428	Rbmx	RNA binding motif protein, X chromosome
1448487_at	0.009589	2.26e-04	-2.44539	Lrrfip1	leucine rich repeat (in FLII) interacting protein 1
1433432_x_at	0.009609	2.27e-04	1.16453333	Gm21571///Rps12-ps18///Rps12-ps24///Rps12-ps10///Rps12-ps14///Rps12-ps13///Rps12-ps15///Rps12-ps12///Rps12-ps16///Rps12-ps11///Rps12	predicted gene, 21571///ribosomal protein S12, pseudogene 18///ribosomal protein S12, pseudogene 24///ribosomal protein S12, pseudogene 10///ribosomal protein S12, pseudogene 14///ribosomal protein S12, pseudogene 13///ribosomal protein S12, pseudogene 15///ribosomal protein S12, pseudogene 12///ribosomal protein S12, pseudogene 16///ribosomal protein S12, pseudogene 11///ribosomal protein S12
1417023_a_at	0.009624	2.28e-04	-4.08349333	Fabp4	fatty acid binding protein 4, adipocyte
1456374_x_at	0.009624	2.28e-04	2.10810667	Eif3c	eukaryotic translation initiation factor 3, subunit C
1425288_at	0.009624	2.28e-04	1.77883	Samd11	sterile alpha motif domain containing 11
1417193_at	0.009682	2.29e-04	-3.61243333	Sod2	superoxide dismutase 2, mitochondrial
1455773_at	0.009682	2.30e-04	-2.01505		
1444717_at	0.009682	2.30e-04	-1.71931	Zwint	ZW10 interactor
1435867_at	0.009763	2.32e-04	-1.96400667	Kdm7a	lysine (K)-specific demethylase 7A
1429566_a_at	0.009778	2.33e-04	-2.29107667	Hipk2	homeodomain interacting protein kinase 2
1455300_at	0.009794	2.33e-04	-3.59346333	Tet2	tet methylcytosine dioxygenase 2
1434104_at	0.009871	2.35e-04	-1.88038	Slc35e1	solute carrier family 35, member E1
1452238_at	0.009917	2.37e-04	-1.68342667	Agfg1	ArfGAP with FG repeats 1
1449628_s_at	0.00992	2.37e-04	-2.43312333	Stard7	START domain containing 7
1422483_a_at	0.009932	2.37e-04	-1.95093333	Cycs	cytochrome c, somatic
1442373_at	0.009992	2.39e-04	-1.82919		
1426461_at	0.009993	2.39e-04	-4.47827	Ugp2	UDP-glucose pyrophosphorylase 2
1421967_at	0.009993	2.40e-04	2.69016667	B4galt5	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5
1454964_at	0.01003	2.41e-04	-2.83248	Rprd1a	regulation of nuclear pre-mRNA domain containing 1A
1437598_at	0.010039	2.41e-04	-5.42524667	Zbtb20	zinc finger and BTB domain containing 20
1432827_x_at	0.010094	2.43e-04	1.2511	Ubc	ubiquitin C
1423154_at	0.010118	2.43e-04	-2.9375	BC005537	cDNA sequence BC005537
1434303_at	0.010121	2.44e-04	-1.95093333	Raph1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
1428473_at	0.010121	2.44e-04	-1.54425	Ppp3cb	protein phosphatase 3, catalytic subunit, beta isoform
1435632_at	0.010121	2.44e-04	-2.12216667	Nufip2	nuclear fragile X mental retardation protein interacting protein 2
1441810_at	0.010131	2.45e-04	-1.98706		
1450699_at	0.010134	2.45e-04	-2.31721333	Selenbp1	selenium binding protein 1
1443962_at	0.010157	2.46e-04	-2.72745667	Tfdp2	transcription factor Dp 2
1426463_at	0.010196	2.47e-04	-2.34584	Gphn	gephyrin
1421679_a_at	0.010205	2.47e-04	2.19972333	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)
1424654_at	0.010259	2.49e-04	-1.89236333	Acp2	acid phosphatase 2, lysosomal
1416277_a_at	0.010293	2.50e-04	2.09965	Gm13777///Rplp1	predicted gene 13777///ribosomal protein, large, P1
1434556_at	0.010382	2.52e-04	-2.22167	Tmem170b	transmembrane protein 170B
1433955_at	0.010382	2.53e-04	-2.54929667	Brwd1	bromodomain and WD repeat domain containing 1
1436841_at	0.01039	2.53e-04	-1.86010667	Fam63b	family with sequence similarity 63, member B
1435730_at	0.010415	2.54e-04	-2.75459667	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit
1428657_at	0.010415	2.54e-04	-2.77757	Rreb1	ras responsive element binding protein 1
1453752_at	0.01043	2.55e-04	2.3171	LOC101056140///Rpl17-ps9///Rpl17-ps10///Gm10362///Rpl17	60S ribosomal protein L17-like///ribosomal protein L17, pseudogene 9///ribosomal protein L17, pseudogene 10///predicted gene 10362///ribosomal protein L17
1435803_a_at	0.01043	2.55e-04	4.35149333	Eif4e2	eukaryotic translation initiation factor 4E member 2
1420465_s_at	0.01043	2.55e-04	-3.66696333	Mup19///Gm2083///Mup8///Mup7///Mup16///Mup15///Mup14///Mup13///Mup12///Mup10///Mup9///Mup2///Mup1	major urinary protein 19///major urinary protein LOC100048885///major urinary protein 8///major urinary protein 7///major urinary protein 16///major urinary protein 15///major urinary protein 14///major urinary protein 13///major urinary protein 12///major urinary protein 10///major urinary protein 9///major urinary protein 2///major urinary protein 1
1450910_at	0.010463	2.56e-04	-2.86067667	Cap2	CAP, adenylate cyclase-associated protein, 2 (yeast)
1451168_a_at	0.01048	2.57e-04	1.40945667	Arhgdia	Rho GDP dissociation inhibitor (GDI) alpha
1448412_a_at	0.010489	2.57e-04	-1.11391	Tsc22d4	TSC22 domain family, member 4
1443353_at	0.010519	2.58e-04	-1.72332333		
1450268_at	0.010519	2.58e-04	-1.69451667	Fign	fidgetin
1452831_s_at	0.010569	2.60e-04	-1.89245667	Ppat	phosphoribosyl pyrophosphate amidotransferase
1433525_at	0.01058	2.61e-04	-2.51067667	Ednra	endothelin receptor type A
1460506_s_at	0.01058	2.61e-04	-2.35563333	LOC102641347///Ndufc2	NADH dehydrogenase [ubiquinone] 1 subunit C2///NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2
1459708_at	0.01058	2.61e-04	-1.26579		
1459326_at	0.01059	2.61e-04	-3.12461667	D9Ertd256e	DNA segment, Chr 9, ERATO Doi 256, expressed
1444025_at	0.010623	2.62e-04	-3.06647	Kcnj3	potassium inwardly-rectifying channel, subfamily J, member 3
1430989_a_at	0.010623	2.63e-04	-1.90785667	1700020I14Rik	RIKEN cDNA 1700020I14 gene
1436168_at	0.010624	2.63e-04	-2.18091333	C730029A08Rik///Paqr9	RIKEN cDNA C730029A08 gene///progestin and adipoQ receptor family member IX
1425186_at	0.010663	2.64e-04	-1.09806667	Lmbrd1	LMBR1 domain containing 1
1427153_at	0.010665	2.64e-04	-2.92697333	Bckdhb	branched chain ketoacid dehydrogenase E1, beta polypeptide
1416824_at	0.010679	2.65e-04	-2.83941333	B230118H07Rik	RIKEN cDNA B230118H07 gene
1429615_at	0.01071	2.66e-04	-1.44413	Zfp91	zinc finger protein 91
1436822_x_at	0.010714	2.67e-04	1.61106667	LOC101056140///Rpl17-ps9///Rpl17-ps10///Gm10362///Gm6133///Rpl17///Hk1	60S ribosomal protein L17-like///ribosomal protein L17, pseudogene 9///ribosomal protein L17, pseudogene 10///predicted gene 10362///60S ribosomal protein L17 pseudogene///ribosomal protein L17///hexokinase 1
1423990_at	0.010714	2.67e-04	-2.65188333	Rab28	RAB28, member RAS oncogene family
1452428_a_at	0.010714	2.67e-04	2.13486667	B2m	beta-2 microglobulin
1425129_a_at	0.010729	2.68e-04	2.72930667	Taldo1	transaldolase 1
1428607_at	0.010729	2.68e-04	-2.11276667	Araf	Araf proto-oncogene, serine/threonine kinase
1452684_at	0.010795	2.70e-04	1.10078667	Akt1s1	AKT1 substrate 1 (proline-rich)
1453556_x_at	0.010795	2.70e-04	1.36155333	Cd99	CD99 antigen
1449662_at	0.01081	2.70e-04	-2.34464667	Reep1	receptor accessory protein 1
1417825_at	0.010841	2.71e-04	2.62363333	Gm2904///Esd	predicted pseudogene 2904///esterase D/formylglutathione hydrolase
1433544_at	0.010842	2.72e-04	-1.85321333	Stradb	STE20-related kinase adaptor beta
1437222_x_at	0.010884	2.73e-04	-2.43328667	Rrm2b	ribonucleotide reductase M2 B (TP53 inducible)
1436041_at	0.010916	2.74e-04	-2.44204333	Hand2	heart and neural crest derivatives expressed transcript 2
1445002_at	0.010916	2.74e-04	-1.78884		
1423330_at	0.01094	2.75e-04	-1.99723667	Ensa	endosulfine alpha
1459457_at	0.010962	2.76e-04	-1.73034	Camk2d	calcium/calmodulin-dependent protein kinase II, delta
1435321_at	0.010962	2.76e-04	-2.82765	Limch1	LIM and calponin homology domains 1
1453851_a_at	0.010968	2.77e-04	3.43723	Gadd45g	growth arrest and DNA-damage-inducible 45 gamma
1440552_at	0.010968	2.77e-04	-3.13504		
1443579_s_at	0.010968	2.77e-04	-2.08526667	Deptor	DEP domain containing MTOR-interacting protein
1416092_a_at	0.010968	2.77e-04	-1.79974	Map4	microtubule-associated protein 4
1459338_at	0.010972	2.78e-04	-1.95298667		
1427129_a_at	0.010972	2.78e-04	-3.24656	Hnrnpr	heterogeneous nuclear ribonucleoprotein R
1439107_a_at	0.011002	2.79e-04	-2.83195	Kmt2e	lysine (K)-specific methyltransferase 2E
1423855_x_at	0.011002	2.79e-04	1.6532	LOC102641612///LOC101056140///Rpl17-ps9///Rpl17-ps10///Gm10362///Rpl17	60S ribosomal protein L17-like///60S ribosomal protein L17-like///ribosomal protein L17, pseudogene 9///ribosomal protein L17, pseudogene 10///predicted gene 10362///ribosomal protein L17
1452446_a_at	0.011002	2.79e-04	-1.26750333	Tmub2	transmembrane and ubiquitin-like domain containing 2
1415876_a_at	0.011012	2.80e-04	2.93781333	Rps26	ribosomal protein S26
1430286_s_at	0.011026	2.80e-04	-3.02164667	Gm14057///Ppp1r14c	Ppp1r14c pseudogene///protein phosphatase 1, regulatory (inhibitor) subunit 14c
1451559_a_at	0.011038	2.81e-04	-2.08445333	Dhrs4	dehydrogenase/reductase (SDR family) member 4
1416520_x_at	0.011038	2.81e-04	2.2705	Gm4604///Rpl36	predicted gene 4604///ribosomal protein L36
1416219_at	0.01105	2.82e-04	2.30343333	Rpl19	ribosomal protein L19
1434550_at	0.011063	2.82e-04	-2.61614333	3830406C13Rik	RIKEN cDNA 3830406C13 gene
1451048_at	0.011077	2.83e-04	-1.30255667	Metap2	methionine aminopeptidase 2
1427943_at	0.011152	2.85e-04	-3.68337	Acyp2	acylphosphatase 2, muscle type
1416229_at	0.011153	2.85e-04	-1.53911	Rfk	riboflavin kinase
1439662_at	0.011164	2.86e-04	-2.34061667	Homer1	homer scaffolding protein 1
1435654_at	0.011204	2.87e-04	-1.10892333	Ccdc14	coiled-coil domain containing 14
1440348_at	0.011207	2.87e-04	-2.56003667	Zfyve9	zinc finger, FYVE domain containing 9
1428847_a_at	0.011211	2.88e-04	-2.55247333	Macf1	microtubule-actin crosslinking factor 1
1418505_at	0.011231	2.89e-04	-4.16082667	Nudt4	nudix (nucleoside diphosphate linked moiety X)-type motif 4
1418049_at	0.011231	2.89e-04	2.52476333	Ltbp3	latent transforming growth factor beta binding protein 3
1435972_at	0.011247	2.90e-04	-2.06040667	Cast	calpastatin
1458309_at	0.011247	2.90e-04	-1.64482		
1449323_a_at	0.011247	2.90e-04	1.89783333	Gm12816///Rpl3	predicted gene 12816///ribosomal protein L3
1424420_at	0.011295	2.92e-04	-2.26206	Ccpg1	cell cycle progression 1
1419821_s_at	0.011315	2.92e-04	-5.04443667	Idh1	isocitrate dehydrogenase 1 (NADP+), soluble
1436479_a_at	0.011315	2.93e-04	2.24453333	Dpp7	dipeptidylpeptidase 7
1419667_at	0.011315	2.93e-04	-1.78101333	Sgcb	sarcoglycan, beta (dystrophin-associated glycoprotein)
1432232_at	0.011332	2.93e-04	-2.42087	Rcor3	REST corepressor 3
1436275_at	0.01136	2.94e-04	-2.53721333	Kcnip2	Kv channel-interacting protein 2
1428290_at	0.01137	2.95e-04	-2.16454667	Mipep	mitochondrial intermediate peptidase
1437370_at	0.011401	2.96e-04	-2.13327	Sgol2a	shugoshin-like 2a (S. pombe)
1430462_at	0.011425	2.97e-04	-2.10507333	2310002L09Rik	RIKEN cDNA 2310002L09 gene
1424261_at	0.011481	2.99e-04	-2.07632	Zfp672	zinc finger protein 672
1415879_a_at	0.011615	3.02e-04	2.38743333	Rplp2	ribosomal protein, large P2
1425355_at	0.011639	3.03e-04	-1.45812667	Acsf2	acyl-CoA synthetase family member 2
1421070_at	0.011655	3.04e-04	-2.49553333	Supt20	suppressor of Ty 20
1436818_a_at	0.011661	3.04e-04	-3.63447667	Msi2	musashi RNA-binding protein 2
1457810_at	0.011679	3.05e-04	-1.88931	Zbtb37	zinc finger and BTB domain containing 37
1418768_at	0.011707	3.06e-04	-2.86159667	Opa1	optic atrophy 1
1443873_at	0.011738	3.07e-04	-3.22372	Fam210a	family with sequence similarity 210, member A
1456588_x_at	0.011739	3.07e-04	-1.06886667	Cox5b	cytochrome c oxidase subunit Vb
1419460_at	0.011745	3.08e-04	-1.24267667	Rpp14	ribonuclease P 14 subunit
1445632_at	0.011745	3.09e-04	-2.66530333	Ogdh	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)
1451575_a_at	0.011745	3.09e-04	-2.39087333	Nudt3	nudix (nucleotide diphosphate linked moiety X)-type motif 3
1457455_at	0.011745	3.09e-04	-1.15755333	Zfp280d	zinc finger protein 280D
1438428_at	0.011745	3.09e-04	-1.89094667	Jph1	junctophilin 1
1452223_s_at	0.011756	3.09e-04	-2.49821667	Ccser2	coiled-coil serine rich 2
1448361_at	0.011783	3.10e-04	-3.13326333	Ttc3	tetratricopeptide repeat domain 3
1417264_at	0.011783	3.11e-04	-2.06008667	Coq5	coenzyme Q5 methyltransferase
1438655_a_at	0.011821	3.12e-04	2.21353333	Gm4705///Rpl34-ps2///Rpl34-ps1///Rpl34	predicted gene 4705///ribosomal protein L34, pseudogene 2///ribosomal protein L34, pseudogene 1///ribosomal protein L34
1446844_at	0.011837	3.13e-04	-2.38874333	Chchd7	coiled-coil-helix-coiled-coil-helix domain containing 7
1417389_at	0.011854	3.13e-04	-1.11907333	Gpc1	glypican 1
1426678_at	0.011864	3.14e-04	-1.45242667	Gm10193///Zfp706	predicted gene 10193///zinc finger protein 706
1420776_a_at	0.011865	3.14e-04	-2.4436	Auh	AU RNA binding protein/enoyl-coenzyme A hydratase
1417466_at	0.011881	3.15e-04	-5.26648333	Rgs5	regulator of G-protein signaling 5
1449741_at	0.011909	3.16e-04	-1.78463667	Dsg2	desmoglein 2
1452467_at	0.011913	3.16e-04	-2.05588333	Mmab	methylmalonic aciduria (cobalamin deficiency) cblB type homolog (human)
1455029_at	0.011933	3.17e-04	-1.57300667	Kif21a	kinesin family member 21A
1439014_at	0.011933	3.18e-04	-2.05146667	Mb21d2	Mab-21 domain containing 2
1426531_at	0.011933	3.18e-04	-1.77984	Zmynd11	zinc finger, MYND domain containing 11
1434831_a_at	0.011933	3.18e-04	-1.93412667	Foxo3	forkhead box O3
1460426_at	0.011933	3.18e-04	-3.58122667	Pde4dip	phosphodiesterase 4D interacting protein (myomegalin)
1424226_at	0.011969	3.19e-04	-1.97808333	9030617O03Rik	RIKEN cDNA 9030617O03 gene
1454045_a_at	0.011989	3.20e-04	1.42847	Pgs1	phosphatidylglycerophosphate synthase 1
1429870_at	0.012009	3.21e-04	-1.66718667	Tnik	TRAF2 and NCK interacting kinase
1416472_at	0.012016	3.21e-04	-2.89511	Syap1	synapse associated protein 1
1448297_a_at	0.012016	3.22e-04	3.19402	Tnk2	tyrosine kinase, non-receptor, 2
1439009_at	0.012069	3.23e-04	-2.70195333	Gnl3l	guanine nucleotide binding protein-like 3 (nucleolar)-like
1418084_at	0.012119	3.25e-04	-2.55517	Nrp1	neuropilin 1
1421624_a_at	0.012138	3.26e-04	-1.61512333	Enah	enabled homolog (Drosophila)
1420693_at	0.012168	3.27e-04	-5.09344667	Myom1	myomesin 1
1452095_a_at	0.012168	3.27e-04	2.82471	Vimp	VCP-interacting membrane protein
1422241_a_at	0.012186	3.28e-04	-2.33593333	Ndufa1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1
1417251_at	0.012186	3.28e-04	-1.68305667	Palmd	palmdelphin
1417674_s_at	0.012188	3.28e-04	-2.61423667	Golga4	golgi autoantigen, golgin subfamily a, 4
1455376_at	0.012188	3.29e-04	-2.76846667	Vwa8	von Willebrand factor A domain containing 8
1458624_at	0.012238	3.30e-04	-2.46220667	Rbm24	RNA binding motif protein 24
1453802_at	0.012339	3.33e-04	-1.81210667	Limch1	LIM and calponin homology domains 1
1438199_at	0.012339	3.33e-04	-1.78016667	Smim19	small integral membrane protein 19
1416243_a_at	0.012399	3.35e-04	1.83283333	Rpl35	ribosomal protein L35
1423364_a_at	0.0124	3.36e-04	-1.88777333	Aktip	thymoma viral proto-oncogene 1 interacting protein
1423100_at	0.0124	3.36e-04	-3.74667	Fos	FBJ osteosarcoma oncogene
1422665_a_at	0.0124	3.36e-04	-2.44346	Pcmt1	protein-L-isoaspartate (D-aspartate) O-methyltransferase 1
1452265_at	0.012417	3.37e-04	-2.78333	Clasp1	CLIP associating protein 1
1418257_at	0.012417	3.37e-04	-1.5965	Slc12a7	solute carrier family 12, member 7
1453163_at	0.012441	3.38e-04	-4.14836667	Ppp1r12a	protein phosphatase 1, regulatory (inhibitor) subunit 12A
1455950_x_at	0.012488	3.40e-04	2.6624	Rpl35	ribosomal protein L35
1419365_at	0.012496	3.40e-04	-1.49228667	Pex11a	peroxisomal biogenesis factor 11 alpha
1442623_at	0.012527	3.41e-04	-1.28236	Mef2a	myocyte enhancer factor 2A
1426219_at	0.012527	3.42e-04	-3.22807333	Scp2	sterol carrier protein 2, liver
1437985_a_at	0.012527	3.42e-04	-3.24275667	2310061I04Rik	RIKEN cDNA 2310061I04 gene
1426458_at	0.012571	3.44e-04	-2.17651333	Slmap	sarcolemma associated protein
1447903_x_at	0.012571	3.44e-04	-2.44255667	Ap1s2	adaptor-related protein complex 1, sigma 2 subunit
1455182_at	0.012571	3.44e-04	-1.88462333	Kif1b	kinesin family member 1B
1458685_at	0.012629	3.46e-04	-1.96865	Ralgapa1	Ral GTPase activating protein, alpha subunit 1
1448427_at	0.012658	3.47e-04	-1.66157667	Ndufa6	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6 (B14)
1429767_at	0.012677	3.48e-04	-2.34815333	2810013P06Rik	RIKEN cDNA 2810013P06 gene
1434718_at	0.012703	3.49e-04	-1.21313	Cul3	cullin 3
1427388_at	0.012727	3.50e-04	-2.62577667	Lrrc2	leucine rich repeat containing 2
1451776_s_at	0.012728	3.50e-04	-2.77610333	Hopx	HOP homeobox
1435326_at	0.012754	3.51e-04	-3.52678333	Lpgat1	lysophosphatidylglycerol acyltransferase 1
1458383_at	0.012754	3.51e-04	-2.96348		
1434893_at	0.012762	3.52e-04	-1.42724667	Atp1a2	ATPase, Na+/K+ transporting, alpha 2 polypeptide
1431751_a_at	0.012764	3.52e-04	-1.94446667	Mpped2	metallophosphoesterase domain containing 2
1457464_at	0.01281	3.54e-04	-1.15816	C130015C19	uncharacterized LOC403342
1451669_at	0.012825	3.54e-04	-3.32509333	Ppm1b	protein phosphatase 1B, magnesium dependent, beta isoform
1444318_at	0.01283	3.55e-04	-1.9117	Chchd7	coiled-coil-helix-coiled-coil-helix domain containing 7
1430590_at	0.01283	3.55e-04	-2.13826	D3Ertd751e	DNA segment, Chr 3, ERATO Doi 751, expressed
1425275_at	0.012864	3.56e-04	-2.19751333	Asph	aspartate-beta-hydroxylase
1422470_at	0.012922	3.58e-04	-2.19783333	Bnip3	BCL2/adenovirus E1B interacting protein 3
1420881_at	0.012959	3.59e-04	-1.65182667	Nsd1	nuclear receptor-binding SET-domain protein 1
1423686_a_at	0.01296	3.60e-04	1.56513333	Prr13	proline rich 13
1440302_at	0.01297	3.60e-04	-1.80982333	Slc25a3	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3
1434261_at	0.012999	3.61e-04	-1.94760667	Sipa1l2	signal-induced proliferation-associated 1 like 2
1454947_a_at	0.01306	3.63e-04	-1.18844	Ublcp1	ubiquitin-like domain containing CTD phosphatase 1
1436688_x_at	0.013062	3.64e-04	2.49673333	Rpl14-ps1///Rpl14	ribosomal protein L14, pseudogene 1///ribosomal protein L14
1447461_at	0.013095	3.65e-04	2.49327	Astx3///Gm30200	amplified spermatogenic transcripts X encoded 3///predicted gene, 30200
1416663_at	0.013122	3.66e-04	-4.07604333	Ndufa9	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9
1449137_at	0.013134	3.67e-04	-3.69555333	Pdha1	pyruvate dehydrogenase E1 alpha 1
1425270_at	0.013141	3.67e-04	-2.79665	Kif1b	kinesin family member 1B
1422541_at	0.01315	3.68e-04	-1.61237333	Ptprm	protein tyrosine phosphatase, receptor type, M
1450773_at	0.01317	3.69e-04	-3.25739333	Kcnd2	potassium voltage-gated channel, Shal-related family, member 2
1434354_at	0.01321	3.70e-04	-2.10679667	Maob	monoamine oxidase B
1448284_a_at	0.013292	3.73e-04	-2.45766667	Ndufc1	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1
1417456_at	0.013292	3.73e-04	-2.73067	Gnpat	glyceronephosphate O-acyltransferase
1419247_at	0.013292	3.73e-04	-3.16666	Rgs2	regulator of G-protein signaling 2
1423135_at	0.013351	3.75e-04	1.20832667	Thy1	thymus cell antigen 1, theta
1434979_at	0.013351	3.75e-04	-3.90721667	Fam210a	family with sequence similarity 210, member A
1436934_s_at	0.013362	3.76e-04	-4.56483667	Aco2	aconitase 2, mitochondrial
1436165_at	0.013362	3.77e-04	-2.38533667	Luc7l2	LUC7-like 2 (S. cerevisiae)
1437069_at	0.013362	3.77e-04	-5.65154667	Osbpl8	oxysterol binding protein-like 8
1456736_x_at	0.013362	3.77e-04	-1.96595	Mff	mitochondrial fission factor
1425331_at	0.013362	3.77e-04	-3.40426	Zfp106	zinc finger protein 106
1460389_at	0.013363	3.77e-04	1.52210667	Cdk8	cyclin-dependent kinase 8
1422509_at	0.013378	3.79e-04	2.12494667	U2af1	U2 small nuclear ribonucleoprotein auxiliary factor (U2AF) 1
1418849_x_at	0.013378	3.79e-04	-3.73493667	Aqp7	aquaporin 7
1435274_at	0.013378	3.79e-04	-1.96186	Spopl	speckle-type POZ protein-like
1415801_at	0.013378	3.79e-04	-2.82036	Gja1	gap junction protein, alpha 1
1451336_at	0.013392	3.80e-04	-2.50328667	Lgals4	lectin, galactose binding, soluble 4
1420833_at	0.013392	3.80e-04	-1.84874333	Vamp2	vesicle-associated membrane protein 2
1427342_at	0.013422	3.81e-04	-1.34895667	Fastkd1	FAST kinase domains 1
1436842_at	0.013425	3.82e-04	-2.45682667	Fam63b	family with sequence similarity 63, member B
1455724_at	0.013433	3.82e-04	-3.11574667	Prrg1	proline rich Gla (G-carboxyglutamic acid) 1
1448292_at	0.013436	3.83e-04	-2.27515667	Uqcr11	ubiquinol-cytochrome c reductase, complex III subunit XI
1427213_at	0.013436	3.83e-04	-2.37876	Pfkfb1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1
1419016_at	0.013436	3.84e-04	-1.29361667	1700034I23Rik	FUN14 domain containing 2 pseudogene
1440123_at	0.013436	3.84e-04	-2.14657667		
1449078_at	0.013436	3.84e-04	-2.24758	St3gal6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6
1440043_at	0.013436	3.84e-04	-1.14678667	Ank2	ankyrin 2, brain
1433688_x_at	0.013462	3.85e-04	2.50626667	Rpl14-ps1///Rpl14	ribosomal protein L14, pseudogene 1///ribosomal protein L14
1423511_at	0.01348	3.86e-04	-2.30288333	Asf1a	anti-silencing function 1A histone chaperone
1425817_a_at	0.01348	3.86e-04	-2.83560333	Slc8a1	solute carrier family 8 (sodium/calcium exchanger), member 1
1425656_a_at	0.01348	3.86e-04	1.26421	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2
1426489_s_at	0.013514	3.88e-04	-2.51017667	Bfar	bifunctional apoptosis regulator
1450519_a_at	0.013571	3.90e-04	-2.23945333	Prkaca	protein kinase, cAMP dependent, catalytic, alpha
1447148_at	0.013571	3.90e-04	-2.67657333		
1441751_at	0.013572	3.90e-04	-2.58082	AW493563	expressed sequence AW493563
1424563_at	0.013574	3.91e-04	-1.29121333	Slc25a4	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4
1420124_s_at	0.013574	3.91e-04	-1.28300667	Tcta	T cell leukemia translocation altered gene
1456018_at	0.013597	3.92e-04	-1.31418	Brd9	bromodomain containing 9
1448546_at	0.013672	3.94e-04	-4.45954333	Rassf3	Ras association (RalGDS/AF-6) domain family member 3
1459672_at	0.013687	3.95e-04	-1.47466		
1417725_a_at	0.013761	3.98e-04	2.05401667	Sssca1	Sjogren's syndrome/scleroderma autoantigen 1 homolog (human)
1449019_at	0.013766	3.98e-04	-2.59883	Akap1	A kinase (PRKA) anchor protein 1
1419362_at	0.01377	3.99e-04	-1.16083667	Mrpl35	mitochondrial ribosomal protein L35
1427199_at	0.01377	3.99e-04	-1.65227	Fryl	FRY like transcription coactivator
1429951_at	0.01377	3.99e-04	-3.05866667	Ssbp2	single-stranded DNA binding protein 2
1417451_a_at	0.013789	4.00e-04	1.9668	Gm9234///Ppia	predicted pseudogene 9234///peptidylprolyl isomerase A
1455001_x_at	0.013813	4.01e-04	1.79914667	Rpl13a	ribosomal protein L13A
1435817_x_at	0.013824	4.02e-04	1.36043333	LOC102643254///Rps6-ps4///Rps6	40S ribosomal protein S6 pseudogene///ribosomal protein S6, pseudogene 4///ribosomal protein S6
1448185_at	0.013824	4.02e-04	-1.68666667	Herpud1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1
1419660_at	0.013825	4.02e-04	-1.72998	Yae1d1	Yae1 domain containing 1
1426912_at	0.013894	4.04e-04	-2.48981667	Rfwd2	ring finger and WD repeat domain 2
1454954_at	0.013901	4.05e-04	-1.38242	Wdr61	WD repeat domain 61
1423806_at	0.013901	4.05e-04	-1.54133667	Ints4	integrator complex subunit 4
1451149_at	0.013907	4.06e-04	-1.39502667	Pgm2	phosphoglucomutase 2
1438038_at	0.013953	4.07e-04	-1.41445667	4930402H24Rik	RIKEN cDNA 4930402H24 gene
1426582_at	0.014002	4.09e-04	-2.99465667	Atf2	activating transcription factor 2
1444075_at	0.014002	4.10e-04	-1.4788	Filip1	filamin A interacting protein 1
1417935_at	0.014002	4.10e-04	-2.25517333	Mkrn2	makorin, ring finger protein, 2
1449295_at	0.014002	4.10e-04	1.18782333	Sap30bp	SAP30 binding protein
1417273_at	0.014002	4.10e-04	-5.15740667	Pdk4	pyruvate dehydrogenase kinase, isoenzyme 4
1443983_at	0.014046	4.12e-04	-3.18236667		
